PRT_ID;AREA;INT_SQFT;DATE_SALE;DIST_MAINROAD;N_BEDROOM;N_BATHROOM;N_ROOM;SALE_COND;PARK_FACIL;DATE_BUILD;BUILDTYPE;UTILITY_AVAIL;STREET;MZZONE;QS_ROOMS;QS_BATHROOM;QS_BEDROOM;QS_OVERALL;SALES_PRICE
P06945;Adyar;648;12/04/2009;140;1;1;2;Family;No;18/04/1985;Commercial;NoSeWa;No Access;RH;3.4;2.1;3.4;3.14;8044160
P01697;Chrompet;955;24/02/2012;175;1;1;3;AdjLand;No;25/02/2006;House;NoSewr ;Gravel;RM;3.4;4.4;4.7;4.19;9743700
P09756;Velachery;1857;13/09/2005;170;3;2;5;Partial;Yes;25/09/1959;Others;ELO;No Access;RL;4;2.2;2;2.59;10188470
P06476;Adyar;1023;11/08/2009;102;1;1;3;Normal Sale;No;18/08/1981;Commercial;NoSeWa;Paved;C;4.1;4.9;5;4.71;10812320
P07176;Velachery;1581;28/01/2009;64;2;1;4;AbNormal;No;06/02/1975;Others;NoSeWa;Paved;A;3.4;4;3.2;3.61;7145230
P08728;Anna Nagar;1634;08/09/2007;21;1;1;4;AdjLand;No;18/09/1965;House;AllPub;Gravel;RL;2.3;5;4.8;3.975;12217890
P01008;Chrompet;1005;03/03/2013;84;1;1;3;Normal Sale;No;08/03/1992;Commercial;AllPub;No Access;RM;3.5;3.8;5;4.07;12177750
P07445;Anna Nagar;1648;07/11/2008;145;1;1;4;AbNormal;No;10/11/1998;Others;NoSewr ;Gravel;RL;4.6;4;4.7;4.49;13486940
P05635;Karapakkam;1030;21/01/2010;195;1;1;3;Partial;No;27/01/1986;Others;ELO;No Access;C;3.1;4;4.9;4.09;4372250
P07451;T Nagar;1943;05/11/2008;72;2;1;5;Normal Sale;No;08/11/1999;House;NoSewr ;No Access;RM;4.2;2;4.8;3.92;13408980
P01115;Anna Nagar;1985;14/12/2012;39;2;1;5;Partial;No;21/12/1985;House;AllPub;No Access;RL;3.1;3.9;3.6;3.5;12244540
P04159;Anna Nagar;1960;25/10/2010;56;2;1;5;Partial;No;03/11/1974;Others;NoSewr ;Paved;RH;4.2;2;2;2.77;12976220
P03463;Adyar;785;22/03/2011;109;1;1;2;Partial;Yes;28/03/1987;Commercial;NoSeWa;No Access;C;4.8;3.6;5;4.66;8889360
P06836;Anna Nagar;1744;09/05/2009;159;1;1;4;Family;Yes;13/05/1995;House;ELO;Gravel;RM;2.8;2.1;2.1;2.345;13832030
P09866;Velachery;1722;18/01/2005;155;2;1;4;Family;No;29/01/1963;Others;ELO;Paved;RL;3.3;3.4;2.2;3.02;9545390
P02033;Anna Nagar;1757;22/12/2011;113;1;1;4;Family;No;25/12/1998;Others;NoSeWa;Paved;RM;2.1;3.9;3;2.91;13635670
P05766;Chrompet;913;26/12/2009;200;1;1;3;AbNormal;Yes;31/12/1990;Commercial;NoSewr ;Paved;RM;3.9;3;3.2;3.33;12893050
P05537;Karapakkam;1493;06/02/2010;176;2;2;4;Family;Yes;10/02/1993;Commercial;NoSewr ;Gravel;RM;2.1;2.2;4;2.89;13861750
P05907;Chrompet;731;01/12/2009;89;1;1;2;Family;Yes;11/12/1971;Commercial;NoSewr ;Paved;RM;4.5;3;4.3;3.84;11029700
P07539;Velachery;1636;10/10/2008;109;2;1;4;AbNormal;No;24/10/1954;Commercial;NoSewr ;Gravel;RH;3.6;4.5;2.1;3.56;13464130
P03411;Adyar;736;01/04/2011;79;1;1;2;AdjLand;Yes;02/04/2004;House;NoSewr ;No Access;RH;4.2;4.5;3.8;4.06;7839405
P03943;KK Nagar;1990;08/12/2010;192;3;2;5;AbNormal;Yes;10/12/2002;Others;AllPub;Paved;RH;3.1;2.8;4.2;3.45;11780960
P05196;KK Nagar;1776;12/04/2010;95;2;1;4;AdjLand;Yes;18/04/1986;Commercial;NoSewr ;Paved;RH;3.8;3.6;3;3.42;15140080
P05109;Karapakkam;1179;29/04/2010;153;1;1;3;AdjLand;No;02/05/1997;House;AllPub;No Access;I;2.6;4.2;2.1;2.88;5874250
P03367;Karapakkam;1260;07/04/2011;51;1;1;3;AdjLand;No;11/04/1994;Commercial;NoSewr ;Gravel;RM;4;4.5;2.2;3.43;12038750
P05199;Karapakkam;1343;11/04/2010;117;2;2;4;Family;No;20/04/1974;Commercial;ELO;No Access;A;3.7;4.8;4.6;4.39;7585000
P05119;KK Nagar;2050;27/04/2010;191;3;2;5;Family;Yes;30/04/1997;Commercial;NoSeWa;Gravel;RH;2.4;3.7;2.1;2.67;16814260
P07229;Chrompet;972;14/01/2009;102;1;1;3;AdjLand;Yes;16/01/2003;House;ELO;No Access;RM;4.7;3.2;3.7;3.8;9492300
P03217;Velachery;1959;03/05/2011;55;3;2;5;AbNormal;No;07/05/1994;Commercial;NoSeWa;Paved;RL;4.8;4.7;3;4.22;16243990
P07688;KK Nagar;1665;02/09/2008;154;2;1;4;AbNormal;Yes;06/09/1994;Others;NoSeWa;Gravel;RM;5;3.1;4.4;4.19;12054580
P09453;Chrompet;1032;30/11/2006;153;1;1;3;Normal Sale;No;08/12/1973;Commercial;NoSeWa;Gravel;RH;2.1;3.4;3;2.89;11679950
P00678;Chrompet;1061;22/10/2013;103;1;1;3;Normal Sale;Yes;01/11/1975;Others;ELO;Paved;RM;4.6;2.2;2.8;3.1;10074070
P05616;KK Nagar;2085;25/01/2010;134;3;2;5;Family;No;29/01/1993;House;AllPub;Gravel;RM;4.4;2.1;4.1;3.59;11638340
P05357;Chrompet;801;11/03/2010;104;1;1;3;AdjLand;No;21/03/1971;Commercial;AllPub;No Access;RM;4.6;4.9;4.3;4.63;10662050
P07928;Chrompet;1107;21/06/2008;36;1;1;3;Partial;No;23/06/2001;Commercial;NoSewr ;Gravel;RL;3.4;3.7;4.4;3.82;13282450
P04492;T Nagar;1586;21/08/2010;23;1;1;4;AdjLand;No;29/08/1976;House;NoSeWa;No Access;RH;2.9;2.5;4.3;3.43;10259180
P07200;Chrompet;1197;23/01/2009;29;1;1;3;Family;No;30/01/1981;House;ELO;No Access;RM;2;2.9;3.2;2.72;8416200
P06435;Karapakkam;672;19/08/2009;34;1;1;2;Normal Sale;Yes;24/08/1991;House;NoSewr ;No Access;RH;2.6;3;3.6;3.12;5623500
P04653;Adyar;974;25/07/2010;135;1;1;3;AdjLand;No;28/07/1996;House;AllPub;Paved;RM;3.3;4.6;2.3;3.06;9673210
P06673;Anna Nagar;1522;29/06/2009;81;1;1;4;Family;No;30/06/2004;House;AllPub;Paved;RL;2.4;3.8;2.4;2.75;11295000
P02781;KK Nagar;1512;30/07/2011;108;2;1;4;Family;No;31/07/2006;Others;AllPub;Gravel;RM;4.6;2.6;4.7;4.04;10831740
P07527;Adyar;1152;13/10/2008;80;1;1;3;AbNormal;Yes;23/10/1969;House;AllPub;Paved;RL;3.9;3;3.7;3.62;10008685
P09634;Velachery;1762;20/05/2006;142;2;1;4;Family;Yes;26/05/1982;House;NoSeWa;No Access;RH;2.7;2.1;4.8;3.06;9071080
P04240;Velachery;1787;08/10/2010;116;2;1;4;AdjLand;No;20/10/1961;Others;NoSeWa;Paved;RH;3.9;3.6;3.2;3.56;9640180
P03767;KK Nagar;1301;14/01/2011;64;1;1;3;Family;Yes;16/01/2004;Commercial;NoSeWa;Paved;RH;3.3;3.8;3.5;3.53;12099740
P06007;KK Nagar;1996;12/11/2009;51;3;2;5;Partial;Yes;15/11/1997;Commercial;NoSeWa;Gravel;RM;2.5;3;2.8;2.77;17586840
P02314;Karapakkam;1122;25/10/2011;199;1;1;3;Family;Yes;29/10/1995;Others;ELO;Paved;RM;4.6;4.7;2.6;3.83;8904750
P09354;Velachery;1748;07/01/2007;76;2;1;4;Family;No;19/01/1958;Others;ELO;No Access;RM;4.1;3.7;3.8;3.83;9516880
P01593;Anna Nagar;1943;13/03/2012;171;2;1;5;AbNormal;Yes;22/03/1979;Commercial;ELO;Gravel;RM;3.9;2.4;2.1;2.805;22778410
P02947;KK Nagar;1474;25/06/2011;173;2;1;4;Normal Sale;Yes;01/07/1984;Commercial;NoSewr ;Paved;RL;3;3.7;2.4;2.97;13623940
P02013;Karapakkam;1081;26/12/2011;112;1;1;3;AbNormal;Yes;04/01/1975;House;AllPub;Paved;C;2.3;4.6;3.9;3.63;5940250
P06240;Karapakkam;1010;30/09/2009;116;1;1;3;Partial;No;10/10/1968;Commercial;NoSeWa;Paved;I;4.9;3.3;2.1;3.3;7331750
P06316;Karapakkam;1351;14/09/2009;95;2;2;4;Partial;Yes;25/09/1965;Others;AllPub;No Access;C;3.3;2.2;2.7;2.73;6194125
P04505;Karapakkam;1158;18/08/2010;11;1;1;3;Family;Yes;27/08/1975;Others;NoSewr ;No Access;C;3.3;2.3;3.9;3.24;5782500
P07521;Velachery;1514;14/10/2008;67;2;1;4;Normal Sale;Yes;24/10/1968;Others;AllPub;No Access;C;2.1;2.4;4.9;3.08;7932350
P08159;KK Nagar;2219;06/04/2008;73;3;2;5;AbNormal;No;12/04/1987;Commercial;NoSeWa;Gravel;RL;4.6;3.3;3.5;3.77;17449820
P08010;Adyar;1112;22/05/2008;90;1;1;3;AdjLand;Yes;25/05/1997;Commercial;NoSeWa;Gravel;RH;3.3;3.9;3.4;3.47;14787965
P01827;Karapakkam;867;31/01/2012;147;1;1;2;AbNormal;Yes;10/02/1969;Commercial;NoSeWa;Gravel;C;3.5;4.8;3.3;3.81;7691250
P00963;Chrompet;703;04/04/2013;137;1;1;2;Partial;Yes;14/04/1974;House;ELO;No Access;RH;3.3;4.3;4.1;3.94;5976650
P00340;Anna Nagar;1919;25/06/2014;178;2;1;5;Partial;Yes;28/06/2001;House;NoSeWa;Gravel;RM;2.4;5;3.3;3.41;14704160
P02936;Adyar;1181;26/06/2011;156;1;1;3;Partial;Yes;02/07/1987;Others;ELO;No Access;I;2;2;2;2;8418360
P09379;Velachery;1673;29/12/2006;86;2;1;4;AdjLand;No;09/01/1962;House;ELO;No Access;RL;2.5;4.8;4;3.99;8483250
P09628;Velachery;1644;03/06/2006;187;2;1;4;Normal Sale;Yes;11/06/1972;House;NoSeWa;Paved;RM;2.6;4.3;4.5;3.94;10563530
P01538;Chrompet;1060;22/03/2012;44;1;1;3;Family;No;31/03/1979;Commercial;NoSewr ;No Access;RH;3.2;3.6;3.2;3.36;10843350
P01624;Karapakkam;787;07/03/2012;43;1;1;2;Partial;Yes;10/03/2003;Others;NoSeWa;Gravel;RL;4.2;2.9;4.1;3.77;7825375
P05406;Adyar;1203;01/03/2010;18;2;2;4;AdjLand;No;10/03/1974;Commercial;NoSeWa;Gravel;RM;4;3.7;3.4;3.64;15442540
P08864;Adyar;668;21/07/2007;128;1;1;2;Normal Sale;No;25/07/1988;House;ELO;Gravel;A;2.1;4.7;4.4;3.77;5076885
P09474;T Nagar;1667;20/11/2006;60;1;1;4;Partial;Yes;24/11/1989;Others;NoSeWa;No Access;RM;4.7;4.8;2.1;3.555;13476000
P07798;T Nagar;1976;30/07/2008;129;2;1;5;Normal Sale;Yes;02/08/1998;House;ELO;Paved;RL;4.2;2.3;2.1;2.78;14195200
P08887;Anna Nagar;1775;05/07/2007;30;1;1;4;Normal Sale;No;06/07/2001;Commercial;NoSeWa;Paved;RM;4.6;4.2;4.7;4.54;20551520
P06913;Chrompet;1288;20/04/2009;78;2;1;4;Family;No;27/04/1981;House;NoSeWa;No Access;RM;2.5;3.1;2.9;2.86;8935000
P10034;Velachery;1968;16/01/2004;51;3;2;5;AbNormal;No;27/01/1959;Others;AllPub;No Access;C;3.7;4.4;4.7;4.32;8620150
P07624;T Nagar;1915;17/09/2008;195;2;1;5;AbNormal;Yes;27/09/1970;Others;NoSewr ;Paved;RM;3.6;3.4;3.8;3.64;15486610
P02219;Chrompet;750;13/11/2011;33;1;1;2;Normal Sale;No;18/11/1988;Others;NoSewr ;Gravel;RL;4;2.3;3.4;3.14;7954750
P03599;Velachery;1528;19/02/2011;135;2;1;4;Partial;No;26/02/1981;House;AllPub;Gravel;I;4.6;2.3;3.4;3.21;7922150
P03703;Karapakkam;1635;28/01/2011;8;2;2;4;Family;No;04/02/1984;House;NoSewr ;Paved;RM;4.1;4.1;2.8;3.58;8820750
P06148;Karapakkam;663;12/10/2009;102;1;1;2;AbNormal;No;17/10/1990;House;ELO;No Access;I;2.4;3.3;4.6;3.55;3815750
P04714;Chrompet;1211;13/07/2010;156;2;1;4;AdjLand;No;18/07/1991;House;NoSewr ;No Access;RH;2.7;4.8;2.5;3.48;8178250
P03623;Karapakkam;1341;14/02/2011;165;2;2;4;AbNormal;No;23/02/1973;Commercial;AllPub;No Access;C;4;4;4.2;4.08;8469500
P05121;Karapakkam;712;26/04/2010;67;1;1;2;AbNormal;No;03/05/1981;Commercial;NoSewr ;Gravel;RH;3.2;3.1;2;2.69;7379750
P01880;Karapakkam;1332;22/01/2012;146;1;1;3;Normal Sale;No;31/01/1975;Commercial;NoSewr ;Paved;RM;4.6;2.7;4.3;3.91;11235750
P06043;Anna Nagar;1988;04/11/2009;134;2;1;5;Family;No;09/11/1990;Others;NoSewr ;Gravel;RL;2.9;4.2;2.8;3.185;14774770
P06046;Karapakkam;1591;03/11/2009;184;2;2;4;Normal Sale;No;09/11/1987;House;ELO;Paved;RM;4.1;4.8;4.2;4.35;8791000
P08327;Chrompet;1238;14/02/2008;88;2;1;4;Family;No;18/02/1992;Commercial;NoSewr ;No Access;RH;3.4;4.1;2.1;3.29;12599400
P07360;KK Nagar;1366;09/12/2008;3;2;1;4;AdjLand;No;16/12/1980;House;AllPub;Gravel;RM;3.8;4.5;3.2;3.77;9808360
P09057;Velachery;1764;25/04/2007;30;2;1;4;Partial;Yes;01/05/1982;Others;ELO;No Access;A;2.8;3.4;3.7;3.34;7938700
P07509;Chrompet;1272;18/10/2008;85;2;1;4;Normal Sale;No;21/10/1998;Others;NoSeWa;Paved;RL;3.8;2.2;2.9;2.89;10030140
P05112;Karapakkam;849;28/04/2010;198;1;1;2;Family;Yes;09/05/1967;Commercial;NoSewr ;Paved;RM;4.8;2.1;3.3;3.39;9467250
P03704;Velachery;1648;28/01/2011;111;2;1;4;Family;Yes;31/01/1998;Others;NoSeWa;Paved;C;4.3;2.9;2;2.98;9170660
P09980;Velachery;1673;26/05/2004;34;2;1;4;Partial;No;30/05/1991;Commercial;AllPub;Gravel;C;3.9;2.8;4.7;3.65;13172210
P02630;Karapakkam;1538;30/08/2011;90;2;2;4;Partial;Yes;05/09/1987;Commercial;ELO;Gravel;RH;3.8;2.2;4.8;3.72;12514000
P03738;Chrompet;1063;20/01/2011;187;1;1;3;AdjLand;Yes;27/01/1981;Others;ELO;No Access;RL;3;2;2.4;2.42;9253010
P05488;Karapakkam;743;15/02/2010;96;1;1;2;Normal Sale;Yes;27/02/1961;Commercial;AllPub;No Access;RM;5;3.9;3.5;4.07;8507750
P03078;Anna Nagar;1698;30/05/2011;9;1;1;4;AbNormal;No;01/06/2000;Others;AllPub;Paved;RM;2.5;2.6;2.8;2.645;13753510
P09894;Velachery;1614;22/11/2004;166;2;1;4;Partial;Yes;25/11/1994;Commercial;AllPub;Gravel;RL;4.5;2.7;2.5;3.09;15539100
P04897;KK Nagar;1450;09/06/2010;169;2;1;4;AdjLand;Yes;14/06/1989;Others;AllPub;Paved;RH;3.8;4.4;2.4;;10040420
P03901;KK Nagar;1533;18/12/2010;195;2;1;4;Normal Sale;No;24/12/1986;Commercial;NoSeWa;Paved;RL;2.5;2.5;2.5;2.5;12844280
P00491;Anna Nagar;1792;04/03/2014;156;1;1;4;Family;No;07/03/2003;Commercial;ELO;Gravel;RM;5;2.1;2;3.075;20697270
P05563;Chrompet;1144;03/02/2010;73;1;1;3;Normal Sale;No;11/02/1979;Commercial;ELO;Gravel;RH;4.5;4.9;3.3;4.3;12649650
P09576;Velachery;1901;16/09/2006;40;3;2;5;Partial;No;28/09/1958;Others;ELO;Gravel;I;3.3;3.5;5;3.9;9446410
P01099;Chrompet;717;27/12/2012;130;1;1;2;AdjLand;No;03/01/1985;House;ELO;Paved;RM;3.2;3.1;2.6;2.98;7539800
P02876;KK Nagar;2458;08/07/2011;172;4;2;6;Partial;No;13/07/1990;House;AllPub;Gravel;RH;5;2.6;4.1;3.92;11375820
P09011;Anna Nagar;1766;16/05/2007;61;1;1;4;Family;Yes;23/05/1976;Others;ELO;No Access;RL;4.3;2.1;4.7;3.91;13161500
P06294;Chrompet;1181;19/09/2009;102;1;1;3;Normal Sale;Yes;22/09/1998;House;NoSewr ;Gravel;RM;2.1;2.3;4;2.75;11060050
P07647;KK Nagar;1940;13/09/2008;113;3;2;5;AdjLand;Yes;15/09/2001;Commercial;NoSewr ;Gravel;RH;2.1;2;2.5;2.23;16872140
P02464;Karapakkam;1624;29/09/2011;3;2;2;4;Normal Sale;No;04/10/1988;House;NoSewr ;No Access;A;3.5;5;3.2;3.83;5383250
P04643;Adyar;767;26/07/2010;191;1;1;2;Normal Sale;Yes;28/07/2003;House;AllPub;No Access;RM;4.9;2.8;4.9;4.48;9045605
P01093;Chrompet;847;31/12/2012;6;1;1;3;Family;Yes;09/01/1978;House;AllPub;Paved;RM;4.2;3.8;2.4;3.5;8931450
P06209;KK Nagar;1956;06/10/2009;155;3;2;5;AbNormal;No;11/10/1988;Others;AllPub;Paved;RM;3.7;4.3;2.6;3.44;11633740
P08732;Chrompet;1059;07/09/2007;199;1;1;3;AbNormal;Yes;13/09/1980;Commercial;ELO;Gravel;RM;4.6;3.1;4.6;4;14246650
P01689;KK Nagar;1762;26/02/2012;86;2;1;4;AdjLand;No;02/03/1993;Commercial;AllPub;Gravel;RH;4.3;2.5;4.7;3.92;14826580
P00778;Chrompet;802;29/07/2013;3;1;1;3;Normal Sale;No;05/08/1985;Others;ELO;Gravel;RL;3.8;3.5;2.3;3.23;8022740
P06378;Anna Nagar;1636;03/09/2009;5;1;1;4;AbNormal;Yes;08/09/1989;Others;NoSeWa;Gravel;RH;4.4;3.9;2.4;3.475;13380530
P00538;T Nagar;1675;22/01/2014;82;1;1;4;Normal Sale;Yes;02/02/1969;Others;NoSewr ;Paved;RH;3.1;2.1;4.3;3.39;12837050
P08785;Chrompet;1156;19/08/2007;186;1;1;3;Partial;Yes;26/08/1979;House;NoSewr ;Paved;RH;2.5;4.9;2.1;3.34;8715800
P09508;Adyar;659;31/10/2006;110;1;1;2;Family;Yes;06/11/1981;House;AllPub;Gravel;RH;4.7;3;3.6;3.81;7945975
P09175;Chrompet;876;09/03/2007;43;1;1;3;Normal Sale;No;15/03/1983;House;ELO;No Access;RM;3.2;5;2.5;3.71;7482800
P09969;Velachery;1834;18/06/2004;123;3;2;5;AdjLand;No;27/06/1970;Others;ELO;No Access;RH;3.7;4.8;2.2;3.75;9508930
P05389;Velachery;1765;05/03/2010;38;2;1;4;AdjLand;No;07/03/2003;Others;ELO;Gravel;C;3.4;3.3;2.9;3.21;9613940
P07079;Velachery;1727;03/03/2009;73;2;1;4;AbNormal;Yes;11/03/1976;House;ELO;Gravel;A;3.3;3.6;2;3.05;8269610
P09703;Velachery;1797;25/01/2006;96;2;1;4;AdjLand;Yes;30/01/1985;Commercial;ELO;Paved;RL;3.3;4.1;4.3;3.96;16349020
P06582;Karapakkam;1419;20/07/2009;185;2;2;4;Partial;No;28/07/1976;House;ELO;Paved;RM;2.7;4;4.5;3.81;7866250
P08958;Chrompet;1209;04/06/2007;148;2;1;4;Family;Yes;05/06/2002;Commercial;AllPub;Gravel;RH;3.9;4.1;4.3;4.1;14878750
